design,scenario_id,run_id,method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_non_ok_rate,terminal_jobs,terminal_throughput_rps
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,105,105,1.75,8.762,14.388,16.221,0.0,82,1.366667
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,90,90,1.5,6.577,12.416,17.997,0.0,82,1.366667
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,75,75,1.25,9.089,15.135,25.955,0.0,82,1.366667
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,CancelJob,30,30,0.5,7.141,12.843,19.815,0.0,82,1.366667
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,82,1.366667
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,SubmitJob,105,105,1.75,9.221,13.657,16.366,0.0,93,1.55
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobStatus,90,90,1.5,7.185,10.407,26.235,0.0,93,1.55
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobResult,75,75,1.25,8.738,13.786,28.432,0.0,93,1.55
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,CancelJob,30,30,0.5,7.171,13.747,14.194,0.0,93,1.55
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,93,1.55
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,SubmitJob,105,105,1.75,8.723,15.106,18.14,0.0,86,1.433333
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobStatus,90,90,1.5,6.8,11.365,16.34,0.0,86,1.433333
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,75,75,1.25,8.359,13.457,18.065,0.0,86,1.433333
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,CancelJob,30,30,0.5,6.536,9.112,17.199,0.0,86,1.433333
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,86,1.433333
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r00-5de3ea804f,SubmitJob,105,105,1.75,8.389,13.539,15.938,0.0,90,1.5
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r00-5de3ea804f,GetJobStatus,90,90,1.5,6.776,14.039,16.566,0.0,90,1.5
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r00-5de3ea804f,GetJobResult,75,75,1.25,8.238,14.99,18.133,0.0,90,1.5
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r00-5de3ea804f,CancelJob,30,30,0.5,6.556,14.245,14.347,0.0,90,1.5
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r00-5de3ea804f,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,90,1.5
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r01-7e8727c707,SubmitJob,105,105,1.75,7.962,12.737,18.78,0.0,92,1.533333
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r01-7e8727c707,GetJobStatus,90,90,1.5,6.6,10.585,57.05,0.0,92,1.533333
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r01-7e8727c707,GetJobResult,75,75,1.25,8.321,19.994,61.425,0.0,92,1.533333
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r01-7e8727c707,CancelJob,30,30,0.5,6.127,9.674,10.785,0.0,92,1.533333
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r01-7e8727c707,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,92,1.533333
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,SubmitJob,105,105,1.75,6.987,10.446,12.836,0.0,78,1.3
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobStatus,90,90,1.5,5.362,8.779,10.188,0.0,78,1.3
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobResult,75,75,1.25,7.336,10.423,13.439,0.0,78,1.3
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,CancelJob,30,30,0.5,5.364,8.455,8.559,0.0,78,1.3
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,78,1.3
