scenario_id,method,a_throughput_rps_mean,b_throughput_rps_mean,throughput_delta_b_minus_a_rps,a_latency_p95_ms_mean,b_latency_p95_ms_mean,latency_p95_delta_b_minus_a_ms,a_non_ok_rate_mean,b_non_ok_rate_mean
s_low_submit_heavy,CancelJob,0.25,0.25,0.0,11.282667,13.996667,2.714,0.0,0.0
s_low_submit_heavy,GetJobResult,0.75,0.75,0.0,13.015667,14.88,1.864333,0.0,0.0
s_low_submit_heavy,GetJobStatus,1.0,1.0,0.0,11.232333,11.899333,0.667,0.0,0.0
s_low_submit_heavy,SubmitJob,3.0,3.0,0.0,13.992667,15.211333,1.218666,0.0,0.0
s_low_poll_heavy,CancelJob,0.25,0.25,0.0,21.579333,9.741,-11.838333,0.0,0.0
s_low_poll_heavy,GetJobResult,1.75,1.75,0.0,17.822,13.314,-4.508,0.0,0.0
s_low_poll_heavy,GetJobStatus,2.25,2.25,0.0,13.642667,9.839,-3.803667,0.0,0.0
s_low_poll_heavy,SubmitJob,0.75,0.75,0.0,19.227667,11.634667,-7.593,0.0,0.0
s_low_balanced,CancelJob,0.5,0.5,0.0,12.061333,11.824,-0.237333,0.0,0.0
s_low_balanced,GetJobResult,1.25,1.25,0.0,15.278333,17.018,1.739667,0.0,0.0
s_low_balanced,GetJobStatus,1.5,1.5,0.0,12.140667,10.738,-1.402667,0.0,0.0
s_low_balanced,SubmitJob,1.75,1.75,0.0,15.528,15.298,-0.23,0.0,0.0
s_medium_submit_heavy,CancelJob,1.0,1.0,0.0,37.547667,23.674,-13.873667,0.0,0.0
s_medium_submit_heavy,GetJobResult,3.0,3.0,0.0,33.155,29.018667,-4.136333,0.0,0.0
s_medium_submit_heavy,GetJobStatus,4.0,4.0,0.0,31.284667,23.863333,-7.421334,0.0,0.0
s_medium_submit_heavy,SubmitJob,12.0,12.0,0.0,37.820667,27.021,-10.799667,0.0,0.0
s_medium_poll_heavy,CancelJob,1.0,1.0,0.0,29.873667,26.446333,-3.427334,0.0,0.0
s_medium_poll_heavy,GetJobResult,7.0,7.0,0.0,30.031667,28.086,-1.945667,0.0,0.0
s_medium_poll_heavy,GetJobStatus,9.0,9.0,0.0,29.328667,25.135,-4.193667,0.0,0.0
s_medium_poll_heavy,SubmitJob,3.0,3.0,0.0,29.291667,27.299333,-1.992334,0.0,0.0
s_medium_balanced,CancelJob,2.0,2.0,0.0,29.511333,22.368333,-7.143,0.0,0.0
s_medium_balanced,GetJobResult,5.0,5.0,0.0,32.115667,25.871,-6.244667,0.0,0.0
s_medium_balanced,GetJobStatus,6.0,6.0,0.0,30.608667,23.385,-7.223667,0.0,0.0
s_medium_balanced,SubmitJob,7.0,7.0,0.0,34.547,23.924,-10.623,0.0,0.0
s_high_submit_heavy,CancelJob,2.0,2.0,0.0,51.393667,33.211667,-18.182,0.0,0.0
s_high_submit_heavy,GetJobResult,6.0,6.0,0.0,50.657667,39.585667,-11.072,0.0,0.0
s_high_submit_heavy,GetJobStatus,8.0,8.0,0.0,51.458333,35.404667,-16.053666,0.0,0.0
s_high_submit_heavy,SubmitJob,24.0,24.0,0.0,62.050667,38.735,-23.315667,0.0,0.0
s_high_poll_heavy,CancelJob,2.0,2.0,0.0,50.04,33.626667,-16.413333,0.0,0.0
s_high_poll_heavy,GetJobResult,14.0,14.0,0.0,54.021667,39.336667,-14.685,0.0,0.0
s_high_poll_heavy,GetJobStatus,18.0,18.0,0.0,53.928667,35.158667,-18.77,0.0,0.0
s_high_poll_heavy,SubmitJob,6.0,6.0,0.0,48.202667,37.917667,-10.285,0.0,0.0
s_high_balanced,CancelJob,4.0,4.0,0.0,55.525667,32.915,-22.610667,0.0,0.0
s_high_balanced,GetJobResult,10.0,10.0,0.0,55.501667,37.573333,-17.928334,0.0,0.0
s_high_balanced,GetJobStatus,12.0,12.0,0.0,55.686667,32.415,-23.271667,0.0,0.0
s_high_balanced,SubmitJob,14.0,14.0,0.0,59.740667,35.723,-24.017667,0.0,0.0
