scenario_id,design,method,run_count,throughput_rps_mean,throughput_rps_std,latency_p95_ms_mean,latency_p95_ms_std,grpc_non_ok_rate_mean,grpc_non_ok_rate_std
design_a_s_low_submit_heavy,A_microservices,CancelJob,3,0.25,0.0,11.282667,1.381711,0.0,0.0
design_a_s_low_submit_heavy,A_microservices,GetJobResult,3,0.75,0.0,13.015667,2.25305,0.0,0.0
design_a_s_low_submit_heavy,A_microservices,GetJobStatus,3,1.0,0.0,11.232333,1.40237,0.0,0.0
design_a_s_low_submit_heavy,A_microservices,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_a_s_low_submit_heavy,A_microservices,SubmitJob,3,3.0,0.0,13.992667,2.213097,0.0,0.0
design_b_s_low_submit_heavy,B_monolith,CancelJob,3,0.25,0.0,13.996667,4.064103,0.0,0.0
design_b_s_low_submit_heavy,B_monolith,GetJobResult,3,0.75,0.0,14.88,1.289799,0.0,0.0
design_b_s_low_submit_heavy,B_monolith,GetJobStatus,3,1.0,0.0,11.899333,1.687463,0.0,0.0
design_b_s_low_submit_heavy,B_monolith,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_b_s_low_submit_heavy,B_monolith,SubmitJob,3,3.0,0.0,15.211333,1.842811,0.0,0.0
design_a_s_low_poll_heavy,A_microservices,CancelJob,3,0.25,0.0,21.579333,16.108474,0.0,0.0
design_a_s_low_poll_heavy,A_microservices,GetJobResult,3,1.75,0.0,17.822,6.411497,0.0,0.0
design_a_s_low_poll_heavy,A_microservices,GetJobStatus,3,2.25,0.0,13.642667,3.463845,0.0,0.0
design_a_s_low_poll_heavy,A_microservices,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_a_s_low_poll_heavy,A_microservices,SubmitJob,3,0.75,0.0,19.227667,7.062563,0.0,0.0
design_b_s_low_poll_heavy,B_monolith,CancelJob,3,0.25,0.0,9.741,1.151168,0.0,0.0
design_b_s_low_poll_heavy,B_monolith,GetJobResult,3,1.75,0.0,13.314,2.42524,0.0,0.0
design_b_s_low_poll_heavy,B_monolith,GetJobStatus,3,2.25,0.0,9.839,1.949929,0.0,0.0
design_b_s_low_poll_heavy,B_monolith,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_b_s_low_poll_heavy,B_monolith,SubmitJob,3,0.75,0.0,11.634667,0.676932,0.0,0.0
design_a_s_low_balanced,A_microservices,CancelJob,3,0.5,0.0,12.061333,0.298882,0.0,0.0
design_a_s_low_balanced,A_microservices,GetJobResult,3,1.25,0.0,15.278333,1.117913,0.0,0.0
design_a_s_low_balanced,A_microservices,GetJobStatus,3,1.5,0.0,12.140667,1.328301,0.0,0.0
design_a_s_low_balanced,A_microservices,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_a_s_low_balanced,A_microservices,SubmitJob,3,1.75,0.0,15.528,1.381455,0.0,0.0
design_b_s_low_balanced,B_monolith,CancelJob,3,0.5,0.0,11.824,5.618066,0.0,0.0
design_b_s_low_balanced,B_monolith,GetJobResult,3,1.25,0.0,17.018,3.997688,0.0,0.0
design_b_s_low_balanced,B_monolith,GetJobStatus,3,1.5,0.0,10.738,1.347609,0.0,0.0
design_b_s_low_balanced,B_monolith,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_b_s_low_balanced,B_monolith,SubmitJob,3,1.75,0.0,15.298,2.238868,0.0,0.0
design_a_s_medium_submit_heavy,A_microservices,CancelJob,3,1.0,0.0,37.547667,1.997448,0.0,0.0
design_a_s_medium_submit_heavy,A_microservices,GetJobResult,3,3.0,0.0,33.155,2.49164,0.0,0.0
design_a_s_medium_submit_heavy,A_microservices,GetJobStatus,3,4.0,0.0,31.284667,1.048309,0.0,0.0
design_a_s_medium_submit_heavy,A_microservices,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_a_s_medium_submit_heavy,A_microservices,SubmitJob,3,12.0,0.0,37.820667,0.159528,0.0,0.0
design_b_s_medium_submit_heavy,B_monolith,CancelJob,3,1.0,0.0,23.674,1.272194,0.0,0.0
design_b_s_medium_submit_heavy,B_monolith,GetJobResult,3,3.0,0.0,29.018667,1.717584,0.0,0.0
design_b_s_medium_submit_heavy,B_monolith,GetJobStatus,3,4.0,0.0,23.863333,0.802562,0.0,0.0
design_b_s_medium_submit_heavy,B_monolith,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_b_s_medium_submit_heavy,B_monolith,SubmitJob,3,12.0,0.0,27.021,0.568066,0.0,0.0
design_a_s_medium_poll_heavy,A_microservices,CancelJob,3,1.0,0.0,29.873667,1.043735,0.0,0.0
design_a_s_medium_poll_heavy,A_microservices,GetJobResult,3,7.0,0.0,30.031667,1.793773,0.0,0.0
design_a_s_medium_poll_heavy,A_microservices,GetJobStatus,3,9.0,0.0,29.328667,1.367293,0.0,0.0
design_a_s_medium_poll_heavy,A_microservices,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_a_s_medium_poll_heavy,A_microservices,SubmitJob,3,3.0,0.0,29.291667,1.531054,0.0,0.0
design_b_s_medium_poll_heavy,B_monolith,CancelJob,3,1.0,0.0,26.446333,3.621134,0.0,0.0
design_b_s_medium_poll_heavy,B_monolith,GetJobResult,3,7.0,0.0,28.086,2.803736,0.0,0.0
design_b_s_medium_poll_heavy,B_monolith,GetJobStatus,3,9.0,0.0,25.135,3.672066,0.0,0.0
design_b_s_medium_poll_heavy,B_monolith,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_b_s_medium_poll_heavy,B_monolith,SubmitJob,3,3.0,0.0,27.299333,1.489336,0.0,0.0
design_a_s_medium_balanced,A_microservices,CancelJob,3,2.0,0.0,29.511333,1.054587,0.0,0.0
design_a_s_medium_balanced,A_microservices,GetJobResult,3,5.0,0.0,32.115667,0.889731,0.0,0.0
design_a_s_medium_balanced,A_microservices,GetJobStatus,3,6.0,0.0,30.608667,1.28148,0.0,0.0
design_a_s_medium_balanced,A_microservices,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_a_s_medium_balanced,A_microservices,SubmitJob,3,7.0,0.0,34.547,1.469216,0.0,0.0
design_b_s_medium_balanced,B_monolith,CancelJob,3,2.0,0.0,22.368333,0.589496,0.0,0.0
design_b_s_medium_balanced,B_monolith,GetJobResult,3,5.0,0.0,25.871,0.195348,0.0,0.0
design_b_s_medium_balanced,B_monolith,GetJobStatus,3,6.0,0.0,23.385,0.346743,0.0,0.0
design_b_s_medium_balanced,B_monolith,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_b_s_medium_balanced,B_monolith,SubmitJob,3,7.0,0.0,23.924,1.074026,0.0,0.0
design_a_s_high_submit_heavy,A_microservices,CancelJob,3,2.0,0.0,51.393667,5.877263,0.0,0.0
design_a_s_high_submit_heavy,A_microservices,GetJobResult,3,6.0,0.0,50.657667,1.71528,0.0,0.0
design_a_s_high_submit_heavy,A_microservices,GetJobStatus,3,8.0,0.0,51.458333,2.614572,0.0,0.0
design_a_s_high_submit_heavy,A_microservices,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_a_s_high_submit_heavy,A_microservices,SubmitJob,3,24.0,0.0,62.050667,1.687194,0.0,0.0
design_b_s_high_submit_heavy,B_monolith,CancelJob,3,2.0,0.0,33.211667,0.550674,0.0,0.0
design_b_s_high_submit_heavy,B_monolith,GetJobResult,3,6.0,0.0,39.585667,1.542813,0.0,0.0
design_b_s_high_submit_heavy,B_monolith,GetJobStatus,3,8.0,0.0,35.404667,1.963897,0.0,0.0
design_b_s_high_submit_heavy,B_monolith,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_b_s_high_submit_heavy,B_monolith,SubmitJob,3,24.0,0.0,38.735,1.239121,0.0,0.0
design_a_s_high_poll_heavy,A_microservices,CancelJob,3,2.0,0.0,50.04,4.446615,0.0,0.0
design_a_s_high_poll_heavy,A_microservices,GetJobResult,3,14.0,0.0,54.021667,1.953307,0.0,0.0
design_a_s_high_poll_heavy,A_microservices,GetJobStatus,3,18.0,0.0,53.928667,1.909218,0.0,0.0
design_a_s_high_poll_heavy,A_microservices,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_a_s_high_poll_heavy,A_microservices,SubmitJob,3,6.0,0.0,48.202667,1.237535,0.0,0.0
design_b_s_high_poll_heavy,B_monolith,CancelJob,3,2.0,0.0,33.626667,2.305357,0.0,0.0
design_b_s_high_poll_heavy,B_monolith,GetJobResult,3,14.0,0.0,39.336667,1.494398,0.0,0.0
design_b_s_high_poll_heavy,B_monolith,GetJobStatus,3,18.0,0.0,35.158667,1.363083,0.0,0.0
design_b_s_high_poll_heavy,B_monolith,ListJobs,3,0.0,0.0,0.0,0.0,1.0,0.0
design_b_s_high_poll_heavy,B_monolith,SubmitJob,3,6.0,0.0,37.917667,2.265751,0.0,0.0
design_a_s_high_balanced,A_microservices,CancelJob,3,4.0,0.0,55.525667,1.507701,0.0,0.0
design_a_s_high_balanced,A_microservices,GetJobResult,3,10.0,0.0,55.501667,1.996976,0.0,0.0
