design,scenario_id,run_id,method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_non_ok_rate,terminal_jobs,terminal_throughput_rps
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r00-4fc0d63ad6,SubmitJob,840,840,14.0,35.508,56.937,64.071,0.0,227,3.783333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r00-4fc0d63ad6,GetJobStatus,720,720,12.0,32.142,54.123,63.675,0.0,227,3.783333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r00-4fc0d63ad6,GetJobResult,600,600,10.0,30.052,53.237,63.602,0.0,227,3.783333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r00-4fc0d63ad6,CancelJob,240,240,4.0,33.006,54.061,65.069,0.0,227,3.783333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r00-4fc0d63ad6,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,227,3.783333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r01-e552a490fb,SubmitJob,840,840,14.0,37.941,61.556,76.312,0.0,239,3.983333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r01-e552a490fb,GetJobStatus,720,720,12.0,34.528,57.152,66.617,0.0,239,3.983333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r01-e552a490fb,GetJobResult,600,600,10.0,33.35,56.258,62.073,0.0,239,3.983333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r01-e552a490fb,CancelJob,240,240,4.0,36.207,57.073,64.678,0.0,239,3.983333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r01-e552a490fb,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,239,3.983333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r02-eb724cfb95,SubmitJob,840,840,14.0,36.639,60.729,69.576,0.0,230,3.833333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r02-eb724cfb95,GetJobStatus,720,720,12.0,32.207,55.785,67.213,0.0,230,3.833333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r02-eb724cfb95,GetJobResult,600,600,10.0,31.889,57.01,62.647,0.0,230,3.833333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r02-eb724cfb95,CancelJob,240,240,4.0,33.72,55.443,63.957,0.0,230,3.833333
A_microservices,design_a_s_high_balanced,design_a_s_high_balanced-r02-eb724cfb95,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,230,3.833333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r00-8e9ef15fb4,SubmitJob,360,360,6.0,29.926,47.109,53.334,0.0,122,2.033333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r00-8e9ef15fb4,GetJobStatus,1080,1080,18.0,35.55,53.283,58.027,0.0,122,2.033333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r00-8e9ef15fb4,GetJobResult,840,840,14.0,33.62,51.799,57.48,0.0,122,2.033333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r00-8e9ef15fb4,CancelJob,120,120,2.0,33.517,45.988,51.423,0.0,122,2.033333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r00-8e9ef15fb4,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,122,2.033333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r01-85e764dfa7,SubmitJob,360,360,6.0,28.853,47.953,54.002,0.0,110,1.833333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r01-85e764dfa7,GetJobStatus,1080,1080,18.0,34.302,56.077,60.65,0.0,110,1.833333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r01-85e764dfa7,GetJobResult,840,840,14.0,34.137,54.801,62.435,0.0,110,1.833333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r01-85e764dfa7,CancelJob,120,120,2.0,36.632,54.797,65.784,0.0,110,1.833333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r01-85e764dfa7,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,110,1.833333
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r02-993681335e,SubmitJob,360,360,6.0,29.017,49.546,59.859,0.0,127,2.116667
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r02-993681335e,GetJobStatus,1080,1080,18.0,33.217,52.426,57.951,0.0,127,2.116667
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r02-993681335e,GetJobResult,840,840,14.0,31.232,55.465,61.065,0.0,127,2.116667
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r02-993681335e,CancelJob,120,120,2.0,30.223,49.335,56.634,0.0,127,2.116667
A_microservices,design_a_s_high_poll_heavy,design_a_s_high_poll_heavy-r02-993681335e,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,127,2.116667
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r00-38f5a36292,SubmitJob,1440,1440,24.0,39.078,60.239,66.43,0.0,280,4.666667
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r00-38f5a36292,GetJobStatus,480,480,8.0,29.509,49.231,54.753,0.0,280,4.666667
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r00-38f5a36292,GetJobResult,360,360,6.0,31.754,48.702,55.026,0.0,280,4.666667
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r00-38f5a36292,CancelJob,120,120,2.0,30.414,48.109,58.144,0.0,280,4.666667
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r00-38f5a36292,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,280,4.666667
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r01-b109f59c52,SubmitJob,1440,1440,24.0,41.72,62.336,66.689,0.0,129,2.15
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r01-b109f59c52,GetJobStatus,480,480,8.0,32.106,54.337,60.239,0.0,129,2.15
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r01-b109f59c52,GetJobResult,360,360,6.0,29.454,51.364,58.677,0.0,129,2.15
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r01-b109f59c52,CancelJob,120,120,2.0,39.052,58.179,64.971,0.0,129,2.15
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r01-b109f59c52,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,129,2.15
