design,scenario_id,run_id,method,start_ts_ms,latency_ms,grpc_code,accepted,result_ready,already_terminal,job_terminal,job_id,concurrency,work_duration_ms,request_mix_profile,total_worker_slots
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,CancelJob,1771604879405,6.41,OK,True,,True,True,9ebb9e93-e92f-4d8c-bc89-da09e2774c13,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,1771604879406,8.229,OK,,True,,True,600bfaea-ea6a-4bcf-a5ef-1e8832695149,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,SubmitJob,1771604879406,9.623,OK,True,,,,19912ad8-c216-4620-88c5-87720feb6e60,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,1771604879407,8.34,OK,,True,,True,721c5c28-a75b-49f1-8a2a-2c9cf1a23836,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,1771604879407,7.363,OK,,True,,True,79a9aa38-d157-498f-88f4-c100f682d19c,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,1771604879408,8.339,OK,,True,,True,12ec4a14-1dd9-4f9b-abb8-29c19e27aaab,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,SubmitJob,1771604880605,4.45,OK,True,,,,bc894cf3-8863-4f97-8fb3-6a0df7717597,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,SubmitJob,1771604880608,3.498,OK,True,,,,49e795bd-6ad1-4c7f-bf24-071bdcfd763a,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,CancelJob,1771604880609,4.871,OK,True,,True,True,3bccf2da-0e7f-4c99-8766-5ad29562c87e,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,1771604880609,5.435,OK,,True,,True,b3039a82-3fd4-43a4-a113-eb866f7c9963,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobStatus,1771604880609,5.186,OK,,,,True,1dadcded-4384-4f3d-8e88-9b84dd13bce6,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobStatus,1771604880609,3.362,OK,,,,True,9ebb9e93-e92f-4d8c-bc89-da09e2774c13,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,1771604881805,5.555,OK,,True,,True,600bfaea-ea6a-4bcf-a5ef-1e8832695149,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,1771604881805,4.853,OK,,True,,True,b3039a82-3fd4-43a4-a113-eb866f7c9963,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobStatus,1771604881805,4.881,OK,,,,True,1dadcded-4384-4f3d-8e88-9b84dd13bce6,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,1771604881809,8.221,OK,,True,,True,49e795bd-6ad1-4c7f-bf24-071bdcfd763a,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,SubmitJob,1771604881809,6.623,OK,True,,,,53fb7ede-c97a-4bd9-a05f-e3c1de617468,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,1771604881810,8.652,OK,,True,,True,49e795bd-6ad1-4c7f-bf24-071bdcfd763a,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobStatus,1771604883006,7.309,OK,,,,True,79a9aa38-d157-498f-88f4-c100f682d19c,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,CancelJob,1771604883007,8.139,OK,True,,True,True,3bccf2da-0e7f-4c99-8766-5ad29562c87e,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,1771604883007,9.821,OK,,True,,True,55f76181-3076-47ea-867f-56af64c59155,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobStatus,1771604883007,7.024,OK,,,,True,3a653bad-7667-44f5-be15-42440edb8ae3,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobStatus,1771604883007,9.057,OK,,,,True,55b54058-eb92-4605-85a3-7e4404cd4799,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,SubmitJob,1771604883007,9.678,OK,True,,,,690b9f94-b7eb-4c30-b2df-55e3e648185f,6,250,balanced,6
