design,scenario_id,run_id,method,start_ts_ms,latency_ms,grpc_code,accepted,result_ready,already_terminal,job_terminal,job_id,concurrency,work_duration_ms,request_mix_profile,total_worker_slots
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobResult,1771601855797,22.345,OK,,True,,True,42d1d870-63fa-4704-9ed3-e9d17014a64d,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601855798,6.846,OK,,,,True,ca481f23-b591-4678-aa62-fd2c3fb13fcb,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601855798,17.963,OK,True,,,,99a58372-7ec5-498a-97b6-94548c903672,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601855799,20.941,OK,True,,,,30ed9020-b4ba-4485-a262-c40f0187d5d3,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobResult,1771601855800,23.892,OK,,True,,True,514a76b2-ac22-4df8-9bdc-61ac65c33aa9,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601855800,19.793,OK,,,,True,ca481f23-b591-4678-aa62-fd2c3fb13fcb,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601855800,17.469,OK,True,,,,40600247-edc4-4cb4-9adf-1fc88e9c697b,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,CancelJob,1771601855801,12.703,OK,True,,True,True,97cfc1ff-1be6-4da1-bc9e-270f37bdcf04,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,CancelJob,1771601855801,15.753,OK,True,,True,True,c2ce2cae-5e6c-4483-ad2f-804e11df11af,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601855801,19.211,OK,True,,,,d7cd87ab-bd53-4c79-94df-1df202ddd07d,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobResult,1771601855802,21.812,OK,,True,,True,fc540691-2b1d-497f-bf3c-83998f302e0d,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601855802,19.772,OK,,,,True,d1a9da52-3f81-40da-b524-c89f30674326,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobResult,1771601856802,12.837,OK,,True,,True,42d1d870-63fa-4704-9ed3-e9d17014a64d,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobResult,1771601856803,19.134,OK,,True,,True,44146215-7768-43c9-b356-1bcbaaca401e,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601856803,14.156,OK,,,,True,4e95fa97-68e6-4287-9b21-d93062d8d1ac,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601856803,8.316,OK,,,,True,bedc5055-49a7-4415-9883-b892613ffa3b,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601856803,18.383,OK,True,,,,5a25a62b-798d-47cb-9a55-47b354081d13,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601856804,23.001,OK,True,,,,07eb0d1a-a2c7-4afc-aefb-2e7e97defdd7,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601856804,13.655,OK,True,,,,dfd68ebe-93fe-40bb-a1de-e3db77d20e79,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobResult,1771601856805,22.312,OK,,True,,True,a4df1759-1b98-47bc-baed-9a676e2da47d,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601856805,20.392,OK,,,,True,47e8a383-ed22-4493-a298-ed4607add909,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601856805,21.018,OK,,,,True,ca481f23-b591-4678-aa62-fd2c3fb13fcb,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601856805,24.915,OK,True,,,,a73014d3-2ed0-4540-bd8e-f8aec19958a5,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601856806,19.134,OK,True,,,,79f0064e-fe3d-4df4-a48e-49e7b4e782a5,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601857802,18.947,OK,True,,,,6834eeed-eeec-464f-8ca9-cea7d8caafac,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,CancelJob,1771601857803,13.113,OK,True,,True,True,32e77aed-d1bb-4487-bbfb-189293c28e95,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobResult,1771601857803,20.447,OK,,True,,True,d1a9da52-3f81-40da-b524-c89f30674326,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601857803,5.545,OK,,,,True,dacbbd49-5dc1-463f-865a-ea548e6ad2e4,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,CancelJob,1771601857804,20.337,OK,True,,True,True,110ca905-ff22-439a-a47e-44670f8f3809,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobResult,1771601857804,19.541,OK,,True,,True,07eb0d1a-a2c7-4afc-aefb-2e7e97defdd7,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobResult,1771601857804,17.118,OK,,True,,True,7f34dfde-9189-45b2-a498-20f15cf4e070,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601857804,19.505,OK,,,,True,514a76b2-ac22-4df8-9bdc-61ac65c33aa9,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601857804,19.79,OK,True,,,,e03dabbc-f42a-441c-b86c-b8161c279fcb,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobResult,1771601857805,23.622,OK,,True,,True,4e95fa97-68e6-4287-9b21-d93062d8d1ac,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601857805,18.393,OK,,,,True,d7cd87ab-bd53-4c79-94df-1df202ddd07d,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601857805,27.173,OK,True,,,,27209d11-cf85-4fa8-bb19-41debf63dee6,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601858804,19.624,OK,,,,True,6834eeed-eeec-464f-8ca9-cea7d8caafac,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601858805,19.694,OK,True,,,,5b2dac83-e9a8-45b4-ae36-e98c73b0f306,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,SubmitJob,1771601858806,26.237,OK,True,,,,60c311ab-81a0-4496-b3bb-ba9289ae53e9,12,250,balanced,6
B_monolith,design_b_balanced_seed5306,design_b_balanced_seed5306-r00-19271f3523,GetJobStatus,1771601858807,12.043,OK,,,,True,0f6dd72e-39b7-46a6-ae5c-a21912e27e7a,12,250,balanced,6
