design,scenario_id,run_id,method,start_ts_ms,latency_ms,grpc_code,accepted,result_ready,already_terminal,job_terminal,job_id,concurrency,work_duration_ms,request_mix_profile,total_worker_slots
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobResult,1771606918199,10.406,OK,,True,,True,4f8a997d-17f7-4dee-9a63-f954687a0684,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobStatus,1771606918199,4.909,OK,,,,True,82334e5d-8b58-4758-a2df-7a447e1210c7,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobResult,1771606918200,7.39,OK,,True,,True,2ee977d0-35b8-4b82-bca5-22e7846836b4,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobResult,1771606918200,9.683,OK,,True,,True,f8c3c110-3248-410f-b5de-3b9218364510,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobStatus,1771606918200,4.138,OK,,,,True,967ec38b-cf22-40e0-83e9-c32565c1c3ed,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobResult,1771606918201,7.857,OK,,True,,True,0accc13b-b8ca-4696-9a65-96f83d74a499,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobStatus,1771606919400,7.674,OK,,,,True,236a406d-a8e2-41c5-8c60-0a0fe18b1b7d,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobStatus,1771606919400,11.704,OK,,,,True,c1d16d01-802c-4423-bdab-3ab81e43a8a8,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobResult,1771606919401,11.319,OK,,True,,True,e96b3d11-6e0c-408f-833a-9053c824c734,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobResult,1771606919403,9.69,OK,,True,,True,c1d16d01-802c-4423-bdab-3ab81e43a8a8,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobResult,1771606919404,8.853,OK,,True,,True,967ec38b-cf22-40e0-83e9-c32565c1c3ed,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobStatus,1771606919404,8.526,OK,,,,True,2ee977d0-35b8-4b82-bca5-22e7846836b4,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r00-038b539781,GetJobStatus,1771606920599,2.436,OK,,,,True,4f8a997d-17f7-4dee-9a63-f954687a0684,6,250,poll_heavy,6
