design,scenario_id,run_id,method,start_ts_ms,latency_ms,grpc_code,accepted,result_ready,already_terminal,job_terminal,job_id,concurrency,work_duration_ms,request_mix_profile,total_worker_slots
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,CancelJob,1771607098288,8.437,OK,True,,True,True,ec44fb9b-2a82-4545-9aa8-d464daaca2c1,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607098288,7.663,OK,,True,,True,7dfe137c-7def-4699-95d4-be7e19133109,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607098288,6.261,OK,,,,True,c4360dfa-0ca3-48df-aa3f-c51c8dfbb50f,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607098289,7.123,OK,,True,,True,390fa3f4-9995-4562-abcd-e385bd47fbbb,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607098289,6.856,OK,,True,,True,ec44fb9b-2a82-4545-9aa8-d464daaca2c1,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607098291,6.123,OK,,True,,True,938fe271-de1e-4de0-a2e2-57cfe56e987d,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,SubmitJob,1771607099490,13.003,OK,True,,,,5fc6e562-99a9-4b7d-bb7e-7dcdb4abd1e0,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,SubmitJob,1771607099492,9.524,OK,True,,,,68461c92-4bbe-455d-ba9d-fef675ede349,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,CancelJob,1771607099493,8.309,OK,True,,True,True,d02c4cfb-6d77-4da5-ab2b-146e958734e3,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607099493,9.244,OK,,True,,True,663d62db-4fed-49f5-8ab7-f4944882a145,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607099493,9.577,OK,,,,True,41dede02-5876-4635-bea5-01a11a9811c6,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607099493,8.819,OK,,,,True,c7041a86-074b-40a1-bfe0-72f91aac8cb2,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607100690,10.927,OK,,True,,True,c6a35a13-30dc-4ed4-b7e7-85054c35ae8c,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607100691,9.67,OK,,True,,True,d02c4cfb-6d77-4da5-ab2b-146e958734e3,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607100692,9.069,OK,,True,,True,2f0504a2-0bbe-41db-8f86-85c7f47020cb,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607100692,6.745,OK,,True,,True,a741cf7c-afa6-4c2e-b010-2fbc5b4d71ea,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607100693,9.03,OK,,True,,True,663d62db-4fed-49f5-8ab7-f4944882a145,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,SubmitJob,1771607100693,9.599,OK,True,,,,c4c6e199-5850-40e1-abac-2f3c00c9f784,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607101892,5.776,OK,,,,True,2f0504a2-0bbe-41db-8f86-85c7f47020cb,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607101892,7.389,OK,,,,True,d02c4cfb-6d77-4da5-ab2b-146e958734e3,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,SubmitJob,1771607101892,7.383,OK,True,,,,4a07f0b6-f18e-4112-a07c-a7cfef4de999,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607101893,8.958,OK,,True,,True,2f0504a2-0bbe-41db-8f86-85c7f47020cb,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607101893,6.986,OK,,True,,True,c4c6e199-5850-40e1-abac-2f3c00c9f784,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607101893,7.014,OK,,True,,True,c7041a86-074b-40a1-bfe0-72f91aac8cb2,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607103092,5.782,OK,,,,True,c6a35a13-30dc-4ed4-b7e7-85054c35ae8c,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607103093,6.218,OK,,True,,True,c4c6e199-5850-40e1-abac-2f3c00c9f784,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607103093,4.703,OK,,,,True,41dede02-5876-4635-bea5-01a11a9811c6,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607103093,5.163,OK,,,,True,938fe271-de1e-4de0-a2e2-57cfe56e987d,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,SubmitJob,1771607103094,6.998,OK,True,,,,6ce3330c-8e46-4d25-a0a1-1d6e0df68a21,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,SubmitJob,1771607103094,7.23,OK,True,,,,9004de0d-b8c9-4494-9021-cd86bdf9902f,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607104287,5.184,OK,,True,,True,994c835d-2acd-49fc-964f-7f182d312002,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,SubmitJob,1771607104288,4.641,OK,True,,,,75351adf-f6dd-47b4-840d-574c86c1cc89,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607104289,3.908,OK,,True,,True,9004de0d-b8c9-4494-9021-cd86bdf9902f,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607104291,3.057,OK,,,,True,68461c92-4bbe-455d-ba9d-fef675ede349,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607104292,2.898,OK,,True,,True,994c835d-2acd-49fc-964f-7f182d312002,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607104292,2.664,OK,,,,True,994c835d-2acd-49fc-964f-7f182d312002,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607105490,7.648,OK,,,,True,2f0504a2-0bbe-41db-8f86-85c7f47020cb,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607105490,5.696,OK,,,,True,75351adf-f6dd-47b4-840d-574c86c1cc89,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607105491,5.937,OK,,True,,True,9004de0d-b8c9-4494-9021-cd86bdf9902f,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607105491,7.602,OK,,,,True,d02c4cfb-6d77-4da5-ab2b-146e958734e3,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607105492,7.131,OK,,,,True,2f0504a2-0bbe-41db-8f86-85c7f47020cb,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607105492,7.212,OK,,,,True,390fa3f4-9995-4562-abcd-e385bd47fbbb,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobResult,1771607106692,6.476,OK,,True,,True,c6a35a13-30dc-4ed4-b7e7-85054c35ae8c,6,250,poll_heavy,6
B_monolith,design_b_s_low_poll_heavy,design_b_s_low_poll_heavy-r02-70aa6026ef,GetJobStatus,1771607106692,7.732,OK,,,,True,68461c92-4bbe-455d-ba9d-fef675ede349,6,250,poll_heavy,6
