design,scenario_id,run_id,method,start_ts_ms,latency_ms,grpc_code,accepted,result_ready,already_terminal,job_terminal,job_id,concurrency,work_duration_ms,request_mix_profile,total_worker_slots
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,GetJobResult,1771606646971,11.534,OK,,True,,True,15b2e96a-33ed-4850-8bc2-f127a0b4e072,6,250,submit_heavy,6
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,SubmitJob,1771606646971,10.188,OK,True,,,,b8e8e819-ab3f-4e86-965f-c64cff5110d5,6,250,submit_heavy,6
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,GetJobResult,1771606646972,8.067,OK,,True,,True,46e07898-c612-4275-9339-eec86ae0640c,6,250,submit_heavy,6
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,GetJobStatus,1771606646972,7.341,OK,,,,True,219ecd42-9587-4f0b-ac08-307fec57b033,6,250,submit_heavy,6
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,SubmitJob,1771606646972,9.893,OK,True,,,,b46cd5b5-6de4-46e2-95a8-20f5d7a28bb3,6,250,submit_heavy,6
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,GetJobStatus,1771606646973,6.831,OK,,,,True,764bba12-bd3c-458a-9e33-738f917a33a7,6,250,submit_heavy,6
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,SubmitJob,1771606648176,9.137,OK,True,,,,283ad84e-b4ae-4c4c-95fb-1cf1c9efeb0a,6,250,submit_heavy,6
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,GetJobResult,1771606648177,8.344,OK,,True,,True,ab7c9abc-e155-4e85-b82e-597e96499f96,6,250,submit_heavy,6
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,SubmitJob,1771606648177,8.343,OK,True,,,,633439db-bdef-4446-ab30-a1c7ac40c6f4,6,250,submit_heavy,6
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,GetJobResult,1771606648178,6.686,OK,,True,,True,57d5b921-77ab-4ed3-ab5f-3b8fbf3935f8,6,250,submit_heavy,6
B_monolith,design_b_s_low_submit_heavy,design_b_s_low_submit_heavy-r00-7fcc4a66cb,GetJobStatus,1771606648178,7.466,OK,,,,True,ace0ccbe-717b-4cfa-b97e-aaa37bff9588,6,250,submit_heavy,6
