design,scenario_id,run_id,method,start_ts_ms,latency_ms,grpc_code,accepted,result_ready,already_terminal,job_terminal,job_id,concurrency,work_duration_ms,request_mix_profile,total_worker_slots
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,CancelJob,1771607912609,9.521,OK,True,,True,True,94d8e0bb-f74a-454e-be8d-fe85486ddac0,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912610,16.741,OK,,True,,True,752e2b68-148c-40c7-b343-fed02650fc1a,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobStatus,1771607912610,9.419,OK,,,,True,c611846a-adcb-4faf-ac6d-f3da6c3e89b5,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912611,13.161,OK,,True,,True,9f55b0f5-be97-41da-8dc8-9dceb74f21a4,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912611,13.239,OK,,True,,True,eaacc8e6-1602-4fad-ad67-5a60ed070c99,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912612,12.471,OK,,True,,True,318aeee8-96a3-4987-8770-06e6cfec9068,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,SubmitJob,1771607912612,19.336,OK,True,,,,3658942c-724d-4f0d-874a-6bd449ee8c57,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,SubmitJob,1771607912613,19.92,OK,True,,,,83f79e83-52ac-43e9-b8a7-2ec03dcbf64d,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912614,11.986,OK,,True,,True,452ecf3e-e870-4f02-be17-0338ca5997e8,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobStatus,1771607912614,12.855,OK,,,,True,03e213c7-20cf-4bd2-90a0-818481ea8e54,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,CancelJob,1771607912615,12.802,OK,True,,True,True,64e00b84-15ca-45f8-b001-4410469ed8b2,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobStatus,1771607912615,9.304,OK,,,,True,29ffe542-d651-472e-bb16-8cee0f489947,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912616,18.583,OK,,True,,True,2856aa0c-b03c-460c-bffe-9319c685fd0a,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912616,15.789,OK,,True,,True,51a35992-2a8d-48fc-ac99-f9bd86ba151f,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912617,17.627,OK,,True,,True,6a7fb6f6-0a30-4091-a22d-532f1058b6c2,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912617,16.818,OK,,True,,True,79c76b05-434f-4245-8339-16d37d0887d6,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,SubmitJob,1771607912618,16.844,OK,True,,,,fce77c3a-ff62-4dc6-b538-5a5a03a5d0b0,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912619,16.793,OK,,True,,True,316345b4-22b0-481a-a0b6-b9a97739dc69,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobStatus,1771607912619,10.138,OK,,,,True,299e3995-2c03-4c18-acf9-bb07c9b06156,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobStatus,1771607912619,11.967,OK,,,,True,bedd38e4-9ca6-4e51-ae98-4a54a5425d01,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912620,14.847,OK,,True,,True,d3209b43-d0bd-4080-923d-844d2b93de1b,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,SubmitJob,1771607912620,13.169,OK,True,,,,37bcf498-6685-43d5-8fd6-4e185622dce5,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912621,12.887,OK,,True,,True,6683339d-6459-4317-912a-60fe311950d1,24,250,poll_heavy,6
B_monolith,design_b_s_medium_poll_heavy,design_b_s_medium_poll_heavy-r02-076a5dea4a,GetJobResult,1771607912621,14.461,OK,,True,,True,81db4786-e1de-4c89-a99b-bb9b92004491,24,250,poll_heavy,6
