design,scenario_id,run_id,method,start_ts_ms,latency_ms,grpc_code,accepted,result_ready,already_terminal,job_terminal,job_id,concurrency,work_duration_ms,request_mix_profile,total_worker_slots
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,CancelJob,1772039978360,6.334,OK,True,,True,True,d266fdcc-71da-4243-98ac-aeb0da0c64f4,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039978360,9.051,OK,True,,,,8c050f73-873b-4e0f-9ddc-f05b18ae5fe9,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039978361,12.996,OK,,True,,True,6d481131-fab8-4806-9097-cf5a0eed24c5,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039978361,11.226,OK,,True,,True,a580ce6f-0c92-4e9a-a3c0-ac0e94b41750,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039978361,11.66,OK,True,,,,636f8cc0-238a-4c1a-9f34-837227a1e20b,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039978362,11.869,OK,,True,,True,10d392ee-abbb-46c7-8326-dab4aa9f50e4,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039979560,10.975,OK,True,,,,ca94f9f3-bfc7-4af6-908a-ec5e7ca1e95e,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039979561,6.767,OK,,,,True,ab288ef1-c154-4096-8318-0fa3c56af56c,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039979562,9.77,OK,,True,,True,ca9c858a-ae53-4e8d-90b6-6f386453f6ad,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039979562,6.225,OK,,,,True,ed5c6ce4-34ae-4570-a0c2-334199d2e53c,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039979564,8.495,OK,,True,,True,e787a963-05c8-4c8b-bc40-171c5c2bec7b,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039979564,5.958,OK,,,,True,c92cf617-2d28-4695-9372-3865a8a111ec,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039980763,9.462,OK,True,,,,18efde85-cca2-4a5e-8882-000a620cea24,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039980764,9.089,OK,,True,,True,e2a5ee24-3094-4cb1-8164-8903fd968fc0,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039980764,8.172,OK,,,,True,e787a963-05c8-4c8b-bc40-171c5c2bec7b,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039980764,8.116,OK,True,,,,2a1de461-e6da-4835-81e2-505512bdd073,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039980764,9.932,OK,True,,,,4a85bae9-fbe4-45c2-965f-838f53aaefe0,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039980764,9.056,OK,True,,,,59cb6e2f-2014-4e66-a216-08d911e69aa9,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039981964,8.295,OK,,True,,True,c92cf617-2d28-4695-9372-3865a8a111ec,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,CancelJob,1772039981965,7.141,OK,True,,True,True,e0c1c723-1348-4782-8f00-b93ef641b373,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039981965,5.867,OK,,,,True,2d9a697d-ce51-446e-9a38-8b605dafe683,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039981965,8.614,OK,True,,,,7c0a9cd8-9cd8-41e1-9a5b-c13d816daa08,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039981965,8.194,OK,True,,,,8704148c-36b8-47fe-bdda-d44e9c4d1c82,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039981965,8.762,OK,True,,,,8fbc7407-4b2d-41f6-ac65-e5921ef6bb07,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039983159,5.951,OK,,,,True,2d9a697d-ce51-446e-9a38-8b605dafe683,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,CancelJob,1772039983160,5.416,OK,True,,True,True,5a161262-f442-455d-9504-31f5fe31c530,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039983160,5.642,OK,,,,True,818e2bb2-477f-4af8-8613-22ae03dc957a,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039983160,7.531,OK,True,,,,d688ca30-d4f6-44f2-a8b4-277a55f146c8,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039983162,5.547,OK,,True,,True,d01159bf-5dbe-4111-b6d7-09b9a93375f9,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039983162,5.907,OK,True,,,,b17f2d40-d797-4320-843d-dc53b6492676,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039984364,14.255,OK,,True,,True,d01159bf-5dbe-4111-b6d7-09b9a93375f9,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039984365,14.481,OK,,True,,True,fd468129-39a6-4e9d-aa33-0f306f4d20c7,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039984365,8.097,OK,,,,True,a3d188b4-d1fe-454c-85d3-e81871dc5e58,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039984365,12.611,OK,,,,True,fd468129-39a6-4e9d-aa33-0f306f4d20c7,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039984365,12.663,OK,True,,,,33d80c25-1fd6-47de-abb1-d49cad354248,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039984365,12.887,OK,True,,,,9009b83d-34cd-4737-a783-8c01d1bdca94,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039985560,2.737,OK,,,,True,8fbc7407-4b2d-41f6-ac65-e5921ef6bb07,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,CancelJob,1772039985564,3.773,OK,True,,True,True,a3d188b4-d1fe-454c-85d3-e81871dc5e58,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,CancelJob,1772039985564,3.835,OK,True,,True,True,f163dc98-fd72-4de6-914b-66cc0a7adec3,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039985564,3.211,OK,,,,True,8fbc7407-4b2d-41f6-ac65-e5921ef6bb07,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039985564,2.078,OK,,,,True,ed5c6ce4-34ae-4570-a0c2-334199d2e53c,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039985565,3.968,OK,,True,,True,10d392ee-abbb-46c7-8326-dab4aa9f50e4,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039986761,6.631,OK,,,,True,8fbc7407-4b2d-41f6-ac65-e5921ef6bb07,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039986762,9.319,OK,,True,,True,b17f2d40-d797-4320-843d-dc53b6492676,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039986762,7.011,OK,,,,True,8704148c-36b8-47fe-bdda-d44e9c4d1c82,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,1772039986762,8.788,OK,,,,True,a3d188b4-d1fe-454c-85d3-e81871dc5e58,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,1772039986762,9.863,OK,True,,,,cd5c9af3-9172-4533-a172-4f81c101c0f3,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039986764,9.025,OK,,True,,True,9009b83d-34cd-4737-a783-8c01d1bdca94,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,CancelJob,1772039987961,4.611,OK,True,,True,True,d266fdcc-71da-4243-98ac-aeb0da0c64f4,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,1772039987961,6.522,OK,,True,,True,8704148c-36b8-47fe-bdda-d44e9c4d1c82,6,250,balanced,6
