design,scenario_id,run_id,method,start_ts_ms,latency_ms,grpc_code,accepted,result_ready,already_terminal,job_terminal,job_id,concurrency,work_duration_ms,request_mix_profile,total_worker_slots
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobResult,1772040068410,7.766,OK,,True,,True,c02d6503-b965-4cf9-913e-76fea851dfd7,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobStatus,1772040068411,5.646,OK,,,,True,53b00a6c-b11d-491f-b0fd-60690d995e62,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,SubmitJob,1772040068411,7.208,OK,True,,,,001c87d3-e04c-4d71-90a3-0524b0817d84,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,SubmitJob,1772040068411,8.058,OK,True,,,,ef7ddcff-c90f-470e-beb8-99f5950c3404,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,CancelJob,1772040068412,4.792,OK,True,,True,True,4729ad85-6eac-455e-b124-b295e9dd5856,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,SubmitJob,1772040068412,7.785,OK,True,,,,0ae7eefa-35c5-4884-a653-1053b39b5caa,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,CancelJob,1772040069615,7.989,OK,True,,True,True,02ffed56-6c6a-4526-bd39-5a2ea179ce5b,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobResult,1772040069615,8.217,OK,,True,,True,788e3cc5-d8ee-48f1-ad36-931e1c8df0a4,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobStatus,1772040069615,7.252,OK,,,,True,d2a277ad-8f96-4ddd-9217-62de89d6d762,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobStatus,1772040069616,10.08,OK,,,,True,3cb7888f-d3f5-4402-a31a-3d63a24d64d4,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobStatus,1772040069616,10.488,OK,,,,True,dbb15d3a-823f-4df0-a385-5a988b41c81c,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,SubmitJob,1772040069616,9.679,OK,True,,,,e20ee1c4-15de-4985-b8b1-9923fd3ee6d9,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobResult,1772040070815,7.486,OK,,True,,True,451c7c6d-75e9-49d6-b67a-c0428268b06f,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobResult,1772040070815,6.22,OK,,True,,True,6e8b7359-670a-4b38-8543-fbaa5146b948,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobStatus,1772040070815,5.876,OK,,,,True,6e8b7359-670a-4b38-8543-fbaa5146b948,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobStatus,1772040070815,6.794,OK,,,,True,d2a277ad-8f96-4ddd-9217-62de89d6d762,6,250,balanced,6
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,SubmitJob,1772040070815,6.803,OK,True,,,,0a25ba1d-6c01-4c4f-acf6-64c185aaff5c,6,250,balanced,6
