design,scenario_id,run_id,method,start_ts_ms,latency_ms,grpc_code,accepted,result_ready,already_terminal,job_terminal,job_id,concurrency,work_duration_ms,request_mix_profile,total_worker_slots
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,CancelJob,1772040456069,5.783,OK,True,,True,True,87ce0d50-96c2-4f45-bf84-0c77e29267d8,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobResult,1772040456069,6.662,OK,,True,,True,a5e9fa81-ef4c-46ee-a1a3-ccb17d054459,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,SubmitJob,1772040456069,5.763,OK,True,,,,c893471f-26e2-41e7-8076-19dd6942fae1,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobResult,1772040456070,8.474,OK,,True,,True,38c168b1-23d0-4134-9806-ee893acdd755,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobResult,1772040456070,8.403,OK,,True,,True,535530df-0a3c-4608-88da-678c5222a96b,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobResult,1772040456070,6.372,OK,,True,,True,832d40b5-07af-462c-a718-6037d4ae7eab,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,SubmitJob,1772040457272,8.806,OK,True,,,,1e5fbe81-eead-49c9-a024-2f3a9c26308a,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobResult,1772040457273,6.816,OK,,True,,True,d41cd7c3-b363-4225-8f2e-914e09362d0c,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobStatus,1772040457273,5.17,OK,,,,True,21a7e349-e61f-4023-a36b-dcdc610a0764,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobStatus,1772040457273,6.77,OK,,,,True,a5e9fa81-ef4c-46ee-a1a3-ccb17d054459,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,SubmitJob,1772040457273,8.391,OK,True,,,,68ec4f9b-19f0-4bb6-a4c9-fd67531da37f,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,CancelJob,1772040457274,6.157,OK,True,,True,True,87ce0d50-96c2-4f45-bf84-0c77e29267d8,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobResult,1772040458469,5.346,OK,,True,,True,0608cb78-3731-49e1-bb5a-6457ebef8663,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobStatus,1772040458469,4.478,OK,,,,True,7e125fe8-0063-4813-a230-c3055dd5b9a2,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobResult,1772040458473,7.752,OK,,True,,True,68ec4f9b-19f0-4bb6-a4c9-fd67531da37f,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobResult,1772040458473,7.21,OK,,True,,True,68ec4f9b-19f0-4bb6-a4c9-fd67531da37f,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,GetJobResult,1772040458473,6.997,OK,,True,,True,e17852a2-6614-4bb2-9dba-86b5cc353639,6,250,balanced,6
B_monolith,design_b_s_low_balanced,design_b_s_low_balanced-r02-610f43c189,SubmitJob,1772040458473,6.61,OK,True,,,,2cfffc06-9407-4cd7-9089-f51583dac429,6,250,balanced,6
